ID,Symbol,Name,Quantity,Open Date,Cost per share,Cost
1,EUFN,ISHARES MSCI EUROPE FINANCI,159,10/6/2020,14.3451,2280.8709
2,PSI,INVESCO DYNAMIC SEMICONDUCT,12,10/6/2020,79.54,954.48
3,SPY,SPDR S&P 500 ETF TR,11,10/6/2020,340.17,3741.87
4,XLI,SECTOR SPDR TR SHS BEN INT-,31,10/6/2020,78.89,2445.59
5,JETS,US GLOBAL JETS ETF,37,10/9/2020,18,666
6,JETS,US GLOBAL JETS ETF,23,11/16/2020,21.1,485.3
7,SPY,SPDR S&P 500 ETF TR,2,11/16/2020,361.1,722.2
8,JETS,US GLOBAL JETS ETF,35,11/18/2020,21.28,744.8
9,PSI,INVESCO DYNAMIC SEMICONDUCT,5,11/18/2020,93.896,469.48
10,ARKG,ARK GENOMIC REVOLUTION FUND,7,1/15/2021,109.96,769.72
11,ARKG,ARK GENOMIC REVOLUTION FUND,11,1/15/2021,109.9555,1209.5105
12,BLCN,SIREN NASDAQ NEXGEN ECONOMY,46,1/15/2021,42.04,1933.84
13,PBW,INVESCO WILDERHILL CLEAN EN,11,1/15/2021,125.12,1376.32
14,SPY,SPDR S&P 500 ETF TR,2,1/15/2021,376.71,753.42
15,WCLD,WISDOMTREE CLOUD COMPUTING,18,1/15/2021,54.65,983.7
